Trial,StartTime,Duration,Frequency,dB_SPL
487,398.0311,0.1,755.953,50
488,398.93025,0.1,2400,50
489,399.7374,0.1,1511.905,50
490,400.6313,0.1,188.988,50
491,401.33165,0.1,600,50
492,402.13055,0.1,3809.763,50
493,403.0353,0.1,1904.881,50
494,403.7316,0.1,476.22,50
495,404.4321,0.1,238.11,50
496,405.1427,0.1,1200,50
497,405.9352,0.1,12095.242,50
498,406.73055,0.1,9600,50
499,407.4355,0.1,15239.05,50
500,408.3317,0.1,19200,50
501,409.1455,0.1,952.441,50
502,409.84065,0.1,3023.811,50
503,410.53165,0.1,377.976,50
504,411.23175,0.1,7619.525,50
505,412.13445,0.1,4800,50
506,412.83205,0.1,300,50
507,413.53615,0.1,2400,40
508,414.2317,0.1,300,40
509,414.945,0.1,4800,40
510,415.8318,0.1,150,40
511,416.6322,0.1,755.953,40
512,417.5321,0.1,476.22,40
513,418.34435,0.1,3809.763,40
514,419.13645,0.1,1904.881,40
515,419.9337,0.1,7619.525,40
516,420.7328,0.1,6047.621,40
517,421.447,0.1,377.976,40
518,422.13395,0.1,3023.811,40
519,422.83205,0.1,9600,40
520,423.73695,0.1,952.441,40
521,424.6322,0.1,1511.905,40
522,425.34125,0.1,1200,40
523,426.13625,0.1,600,40
524,426.93295,0.1,15239.05,40
525,427.63365,0.1,12095.242,40
526,428.54355,0.1,238.11,40
527,429.34655,0.1,19200,40
528,430.1401,0.1,188.988,40
529,430.84455,0.1,9600,70
530,431.63955,0.1,300,70
531,432.53785,0.1,755.953,70
532,433.444,0.1,4800,70
533,434.23895,0.1,3809.763,70
534,434.9343,0.1,377.976,70
535,435.8379,0.1,600,70
536,436.6412,0.1,1200,70
537,437.5431,0.1,238.11,70
538,438.33595,0.1,150,70
539,439.241,0.1,952.441,70
540,439.93865,0.1,15239.05,70
541,440.6376,0.1,1904.881,70
542,441.5394,0.1,19200,70
543,442.2478,0.1,7619.525,70
544,443.1511,0.1,188.988,70
545,444.0348,0.1,1511.905,70
546,444.86575,0.1,476.22,70
547,445.6379,0.1,2400,70
548,446.5456,0.1,3023.811,70
549,447.33485,0.1,6047.621,70
550,448.1459,0.1,12095.242,70
551,448.8348,0.1,300,60
552,449.53465,0.1,755.953,60
553,450.23505,0.1,1200,60
554,451.1359,0.1,3023.811,60
555,451.8372,0.1,238.11,60
556,452.544,0.1,6047.621,60
557,453.3356,0.1,12095.242,60
558,454.24945,0.1,188.988,60
559,454.9375,0.1,377.976,60
560,455.8439,0.1,4800,60
561,456.5438,0.1,3809.763,60
562,457.33775,0.1,15239.05,60
563,458.0392,0.1,476.22,60
564,458.95195,0.1,7619.525,60
565,459.83515,0.1,150,60
566,460.53575,0.1,9600,60
567,461.3395,0.1,1904.881,60
568,462.1352,0.1,1511.905,60
569,463.0392,0.1,600,60
570,463.8433,0.1,952.441,60
571,464.73885,0.1,2400,60
572,465.53605,0.1,19200,60
573,466.33595,0.1,7619.525,50
574,467.13595,0.1,19200,50
575,467.8364,0.1,1904.881,50
576,468.7372,0.1,150,50
577,469.53625,0.1,1511.905,50
578,470.2416,0.1,476.22,50
579,471.0385,0.1,12095.242,50
580,471.93595,0.1,2400,50
581,472.75065,0.1,15239.05,50
582,473.43745,0.1,4800,50
583,474.33715,0.1,3023.811,50
584,475.1561,0.1,9600,50
585,475.94385,0.1,3809.763,50
586,476.63635,0.1,377.976,50
587,477.35765,0.1,952.441,50
588,478.14185,0.1,188.988,50
589,478.9372,0.1,600,50
590,479.84145,0.1,6047.621,50
591,480.5481,0.1,238.11,50
592,481.4394,0.1,755.953,50
593,482.33815,0.1,300,50
594,483.03675,0.1,1200,50
595,483.93765,0.1,1904.881,40
596,484.6378,0.1,3809.763,40
597,485.43925,0.1,15239.05,40
598,486.2574,0.1,1200,40
599,486.93915,0.1,476.22,40
600,487.5527,0.1,952.441,40
601,488.4509,0.1,2400,40
602,489.34005,0.1,300,40
603,490.14255,0.1,7619.525,40
604,490.8489,0.1,600,40
605,491.6435,0.1,3023.811,40
606,492.33835,0.1,19200,40
607,493.23765,0.1,4800,40
608,494.04275,0.1,9600,40
609,494.73905,0.1,238.11,40
610,495.65295,0.1,150,40
611,496.53945,0.1,12095.242,40
612,497.44345,0.1,6047.621,40
613,498.13895,0.1,188.988,40
614,498.84315,0.1,1511.905,40
615,499.7395,0.1,377.976,40
616,500.64255,0.1,755.953,40
617,501.53905,0.1,6047.621,70
